id,title,department,location,close_date,scrape_date
20749,Technology Infrastructure Architect,Education - ITSS,"Whitehorse, YT, CA Y1A 2C6",2020-03-26,NA
20980,First Nation Relations and Community Advisor,"Energy, Mines & Resources - CMI Program Standards, Planning and Monitoring","Whitehorse, YT, CA Y1A 2C6",2020-03-19,NA
20964,Corporate Registration Analyst,Community Services - Corp Policy & Consumer Affairs - Corporate Affairs - Operations,"Whitehorse, YT, CA Y1A 2C6",2020-03-18,NA
20962,Director - Respectful Workplace Office,Public Service Commission - Employee Relations - Respectful Workplace Office,"Whitehorse, YT, CA Y1A 2C6",2020-03-20,NA
20935,Case Manager,Workers Compensation - WCB - Claimant Services,"Whitehorse, YT, CA Y1A 2C6",2020-03-17,NA
20953,Water and Wastewater Supervisor,Community Services - CS-CD-CO DC Plant,"Dawson City, YT, CA Y0B 1G0",2020-03-17,NA
20958,Occupational Therapist,"Health & Social Services - Intermediate and Community Care, Therapies - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-03-17,NA
20936,Senior Diversity and Inclusion Advisor,Public Service Commission - People & Culture - Diversity & Inclusion,"Whitehorse, YT, CA Y1A 2C6",2020-03-16,NA
20568,Network Administrator,Health & Social Services - Finance Systems and Administration,"Whitehorse, YT, CA Y1A 2C6",2020-03-12,NA
20879,Nursing Home Attendant,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-03-27,NA
20626,Regional Social Worker,Health & Social Services - Regional Services,"Carcross, YT, CA Y0B 1B0Dawson City, YT, CA Y0B 1G0Faro, YT, CA Y0B 1K0 (Primary)Haines Junction, YT, CA Y0B 1L0Whitehorse, YT, CA Y1A 2C6",2020-05-27,NA
20410,Sign Shop Supervisor,Highways & Public Works - HPW-TMB-Sign Shop,"Whitehorse, YT, CA Y1A 2C6",2020-03-11,NA
20860,Regional Economic Development Advisor,Economic Development - Regional Economic Development,"Whitehorse, YT, CA Y1A 2C6",2020-03-11,NA
20864,Speech Language Pathologist,"Health & Social Services - Continuing Care, Thomson Centre - Therapies","Whitehorse, YT, CA Y1A 2C6",2020-05-26,NA
20858,Immigration Officer,Economic Development - Immigration,"Whitehorse, YT, CA Y1A 2C6",2020-03-11,NA
